class,file,number,odd,gap,elapsed,fixNum,gazes,fixavglen,sacavglen,saclen,rec,det,lam,corm,coverage5,coverage7,coverage10
L,C1025,2,1,35,2929,5,162,491.8,1.9754740861867301,9.87737043093365,31.455876372509152,35.003232062055595,62.36263736263737,18.292496949979668,0.04,0.02040816326530612,0.02
L,C1025,20,1,638,3734,3,188,1212.6666666666667,0.771625529431082,2.314876588293246,38.1390874106652,0.0,100.0,19.0695437053326,0.04,0.04081632653061224,0.02
L,C1025,21,2,21,2355,1,142,2349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.01
L,C1025,22,1,2722,6045,4,161,547.5,2.4054462375307355,9.621784950122942,33.33333333333333,100.0,0.0,22.22222222222222,0.04,0.04081632653061224,0.03
L,C1025,23,2,4481,9845,4,128,381.25,2.1499989295555557,8.599995718222223,7.038251366120218,0.0,99.99999999999999,2.3460837887067396,0.08,0.061224489795918366,0.03
L,C1025,3,2,48,2881,3,168,835.0,0.5934503988559569,1.7803511965678704,100.0,53.992015968063875,126.99600798403193,73.00399201596807,0.04,0.02040816326530612,0.02
L,C1025,4,1,29,2842,4,171,571.0,2.7336721078784283,10.934688431513713,25.04378283712785,0.0,0.0,16.6958552247519,0.08,0.061224489795918366,0.03
L,C1025,5,2,67,2438,3,146,654.3333333333334,3.3670084642400853,10.101025392720256,0.0,0.0,0.0,0.0,0.04,0.04081632653061224,0.02
L,C1025,6,1,22,2966,6,179,414.3333333333333,4.131982977102275,24.791897862613652,15.84070796460177,0.0,77.04418486541391,4.622687047465808,0.12,0.08163265306122448,0.04
L,C1025,7,2,658,4164,2,195,2046.5,0.8517328608328835,1.703465721665767,100.0,0.0,100.0,100.0,0.04,0.02040816326530612,0.01
L,C1025,8,1,30,4755,11,284,310.1818181818182,9.321196114607421,102.53315726068163,11.0052754982415,0.0,0.0,5.487397420867526,0.2,0.12244897959183673,0.08
L,C1025,9,2,795,3896,6,187,582.8333333333334,6.10206561708971,36.612393702538256,5.541893051186732,0.0,0.0,3.325135830712039,0.12,0.08163265306122448,0.04
L,C1037,0,1,108,5627,3,338,1832.0,6.331660683145017,18.994982049435052,0.0,0.0,0.0,0.0,0.12,0.04081632653061224,0.03
L,C1037,1,2,200,10280,9,603,1063.7777777777778,8.27243098413318,74.45187885719862,5.755170252767913,0.0,0.0,4.316377689575935,0.2,0.16326530612244897,0.07
L,C1037,10,1,33,3912,5,235,736.4,8.917044086792966,44.58522043396483,0.0,0.0,0.0,0.0,0.16,0.10204081632653061,0.05
L,C1037,11,2,20,1231,1,74,1215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.01
L,C1037,12,1,135,1486,3,90,448.3333333333333,5.781182230852784,17.343546692558352,0.0,0.0,0.0,0.0,0.12,0.061224489795918366,0.03
